emma	0.00025602198596195384
by	0.004615786682244787
jane	8.957813134696537e-05
woodhouse	9.489960449629005e-05
handsome	3.902413642838095e-05
clever	2.3650991774776334e-05
and	0.03579488913893243
rich	7.775263545957721e-05
with	0.007029370392860712
a	0.017405947396646644
comfortable	3.4885212867795096e-05
home	0.00027198640540992784
happy	0.000175904251324899
disposition	2.7789915335362195e-05
seemed	0.00033200079703842283
to	0.024967465104439823
unite	5.025835752139972e-06
some	0.0012360599576292483
of	0.03195869827306371
the	0.05997507185466939
best	0.00021581529994483406
blessings	7.68657232680231e-06
existence	1.8625156022636365e-05
had	0.003939663954883368
lived	8.218719641734776e-05
nearly	9.076068093570419e-05
twenty	0.0001410190384571039
one	0.0027160207679358776
years	0.000650697911203534
in	0.018572532565937487
world	0.0006912002346178384
very	0.0013146995052803795
little	0.0009877245439940967
distress	3.340702588187158e-05
or	0.0028301368032491734
vex	7.3909349296176046e-06
her	0.0034243679715904285
she	0.002821563318730817
was	0.007273862520332462
youngest	1.2416770681757575e-05
two	0.0014897168444137244
daughters	9.489960449629005e-05
most	0.0006308902055921588
affectionate	1.6555694242343436e-05
indulgent	3.252011369031746e-06
father	0.0006867656736600678
consequence	4.109359820867388e-05
sister	0.0001818169992685931
s	0.002732576462178221
marriage	4.493688437207504e-05
been	0.0016203885739693637
mistress	4.168487300304329e-05
his	0.006527673729838268
house	0.0010022107764561471
from	0.005111570597323535
early	0.00024951796322389034
period	0.0002536568867844762
mother	0.0003586081627850462
died	9.223886792162771e-05
too	0.0005144090711013853
long	0.0007050951922855195
ago	0.0002530656119901068
for	0.009847386062825312
have	0.004040771944720537
more	0.0017575643262630663
than	0.0013871306675906322
an	0.0027952515903813782
remembrance	2.6607365746623378e-05
caresses	2.0694617802929295e-06
place	0.0005256432921944041
supplied	2.039898040574459e-05
excellent	6.119694121723377e-05
woman	0.000285881363077609
as	0.005647265561022219
governess	5.025835752139972e-06
who	0.0014403453990838788
fallen	8.011773463705483e-05
short	0.0002536568867844762
affection	4.93714453298456e-05
sixteen	1.41905950648658e-05
miss	0.0003571299757991227
taylor	1.8625156022636365e-05
mr	0.0007045039174911501
family	0.00018152136187140838
less	0.00026518674527467964
friend	0.00022172804788852813
fond	4.6119433960813854e-05
both	0.0005129308841154618
but	0.005187549408400004
particularly	8.041337203423955e-05
between	0.0005448597230114098
them	0.003176328195352462
it	0.009814274674340625
intimacy	1.3894957667681097e-05
sisters	4.848453313829149e-05
even	0.0008177330406128918
before	0.0012458159917363434
ceased	2.5720453555069266e-05
hold	0.0002391706543224257
nominal	2.0990255200114e-05
office	0.00010436000120620058
mildness	4.7301983549552675e-06
temper	4.1980510400228e-05
hardly	9.489960449629005e-05
allowed	6.770096395529726e-05
impose	2.6311728349438673e-05
any	0.001266214972142088
restraint	1.4781869859235209e-05
shadow	4.96670827270303e-05
authority	6.060566642286436e-05
being	0.0006521760981894574
now	0.0016665080079301775
passed	0.00017117405296994374
away	0.000627638194223127
they	0.004642098410594225
living	0.0001422015880458427
together	0.0003154451027960794
mutually	5.61711054650938e-06
attached	2.6607365746623378e-05
doing	9.785597846813708e-05
just	0.00048425405658854547
what	0.001840047160077599
liked	3.015501451283983e-05
highly	4.818889574110678e-05
judgment	0.00011677677188795815
directed	1.4781869859235209e-05
chiefly	1.8625156022636365e-05
own	0.0007526928132322568
real	0.00017945190009111545
evils	1.123422109301876e-05
indeed	0.00026282164609720205
situation	0.00011529858490203464
were	0.0029729296660893855
power	0.0002400575665139798
having	0.0002477441388407821
rather	0.0002894290118438254
much	0.0008280803495143564
way	0.0006604539453106291
think	0.0005853620464257143
well	0.0009126326451091818
herself	0.0002873595500635325
these	0.0009776728724898167
disadvantages	1.773824383108225e-06
which	0.003678024858374905
threatened	2.897246492410101e-05
alloy	6.504022738063492e-06
many	0.0005735365505383261
enjoyments	2.9563739718470417e-06
danger	5.232781930169264e-05
however	0.000385806803326039
at	0.00478696073521473
present	0.0002604565469197244
so	0.0024670940795063563
unperceived	1.773824383108225e-06
that	0.010746715025061183
did	0.0011751586538091992
not	0.007175119629672771
means	0.00013185427914437807
rank	2.897246492410101e-05
misfortunes	1.773824383108225e-06
sorrow	5.025835752139971e-05
came	0.0010285225048055858
gentle	3.281575108750217e-05
all	0.004440178068317072
shape	5.025835752139971e-05
disagreeable	1.0051671504279943e-05
consciousness	1.6851331639528138e-05
married	5.410164368480087e-05
loss	0.0015485486864534805
first	0.0011396821661470347
brought	0.0003961541122275036
grief	1.980770561137518e-05
on	0.0052744668031723075
wedding	1.2121133284572872e-05
day	0.0011852103253134792
this	0.003674772847005873
beloved	4.523252176925974e-05
sat	0.0001688089537924661
mournful	3.54764876621645e-06
thought	0.000422761477974127
continuance	5.025835752139972e-06
over	0.0011887579740796955
bride	1.3303682873311689e-05
people	0.0008889816533344055
gone	0.00021640657473920348
left	0.000343826292925811
dine	1.3894957667681097e-05
no	0.0021702741327329135
prospect	3.0450651910024533e-05
third	0.00023680555514494806
cheer	1.0347308901464647e-05
evening	0.00015107070996138385
composed	1.3303682873311689e-05
himself	0.0005064268613773983
sleep	8.839558175822655e-05
after	0.0014027994496414215
dinner	6.35620403947114e-05
usual	6.267512820315728e-05
then	0.0015795906131578746
only	0.0009892027309800202
sit	0.00010347308901464647
lost	0.00015047943516701442
event	3.725031204527273e-05
every	0.0008839558175822655
promise	6.563150217500433e-05
happiness	6.917915094122078e-05
weston	0.00013126300435000867
man	0.0016712382062851329
unexceptionable	2.3650991774776337e-06
character	6.504022738063492e-05
